round,fed_val_accuracy,fed_val_loss,test_accuracy,test_f1_macro,test_f1_weighted,test_precision_macro,test_recall_macro,test_auc_macro_ovr
1,0.9433962264150944,0.226920402204653,0.875,0.874015548116579,0.8740155481165788,0.87901459707577,0.875,0.9856250000000001
2,0.9716981132075472,0.11418333486214562,0.89375,0.8929510612107874,0.8929510612107874,0.8968023255813954,0.89375,0.9902083333333334
3,0.9811320754716981,0.10660781166604105,0.8875,0.8868721639805976,0.8868721639805976,0.8887492143306097,0.8875,0.9884375
4,0.9811320754716981,0.06330456306173834,0.9125,0.9128018875847878,0.9128018875847879,0.9153462816253514,0.9125,0.99046875
5,0.9905660377358491,0.10117129898050202,0.93125,0.9307432157780922,0.9307432157780922,0.9330205358357133,0.93125,0.9899479166666667
