epoch,train_loss,train_acc,val_loss,val_acc,test_accuracy,test_f1_macro,test_f1_weighted,test_precision_macro,test_recall_macro,test_auc_macro_ovr
6,0.1467248298980009,0.946078431372549,0.7677004039287567,0.75,0.8,0.752913752913753,0.7529137529137528,0.8645833333333334,0.8,0.9811458333333333
1,0.6595398000417612,0.7483660130718954,0.31739096343517303,0.8888888888888888,0.8625,0.8611547781675397,0.8611547781675395,0.8634706134706135,0.8625,0.9802083333333332
7,0.19985544583640802,0.9297385620915033,0.08760697447827884,0.9537037037037037,0.90625,0.9057784574217638,0.9057784574217639,0.9073955760002271,0.90625,0.98578125
2,0.23817963525652885,0.9150326797385621,0.15306989316429412,0.9629629629629629,0.9,0.8988481517906345,0.8988481517906346,0.900089070820778,0.9,0.9822395833333333
8,0.058092087966939196,0.9820261437908496,0.18861437748585427,0.9444444444444444,0.8875,0.8857414190747523,0.8857414190747525,0.8985980014598908,0.8875,0.9847916666666667
3,0.1592690296089038,0.9444444444444444,0.20018399293933595,0.8981481481481481,0.8375,0.8356792269909241,0.835679226990924,0.8510697268481389,0.8374999999999999,0.9818749999999999
9,0.07574079851978101,0.9803921568627452,0.221435263220753,0.8981481481481481,0.875,0.8708254622415951,0.870825462241595,0.888959687855224,0.875,0.98625
4,0.1394592145553384,0.9477124183006537,0.1528828926384449,0.9259259259259259,0.88125,0.8810409473957754,0.8810409473957753,0.8923809523809524,0.88125,0.9833854166666667
10,0.09762485467422849,0.9656862745098038,0.20059828140905925,0.9351851851851852,0.89375,0.8901491913570212,0.8901491913570212,0.9002137563988548,0.89375,0.9880208333333333
5,0.114132540491529,0.9558823529411765,0.23726110266787664,0.8888888888888888,0.86875,0.8687622245840292,0.8687622245840292,0.8937018345495464,0.86875,0.9822916666666667
6,0.1467248298980009,0.946078431372549,0.7677004039287567,0.75,0.8,0.752913752913753,0.7529137529137528,0.8645833333333334,0.8,0.9811458333333333
7,0.19985544583640802,0.9297385620915033,0.08760697447827884,0.9537037037037037,0.90625,0.9057784574217638,0.9057784574217639,0.9073955760002271,0.90625,0.98578125
8,0.058092087966939196,0.9820261437908496,0.18861437748585427,0.9444444444444444,0.8875,0.8857414190747523,0.8857414190747525,0.8985980014598908,0.8875,0.9847916666666667
9,0.07574079851978101,0.9803921568627452,0.221435263220753,0.8981481481481481,0.875,0.8708254622415951,0.870825462241595,0.888959687855224,0.875,0.98625
10,0.09762485467422849,0.9656862745098038,0.20059828140905925,0.9351851851851852,0.89375,0.8901491913570212,0.8901491913570212,0.9002137563988548,0.89375,0.9880208333333333
