round,fed_val_accuracy,fed_val_loss,test_accuracy,test_f1_macro,test_f1_weighted,test_precision_macro,test_recall_macro,test_auc_macro_ovr
1,0.9528301886792453,0.21625575887144738,0.91875,0.9184712987519148,0.9184712987519148,0.9196725522590525,0.91875,0.9863541666666666
2,0.9716981132075472,0.13587942083348642,0.9125,0.9120996055539693,0.9120996055539694,0.9141994523092084,0.9125,0.99109375
3,0.9905660377358491,0.08849905354831859,0.875,0.8741719281204469,0.8741719281204468,0.8881458966565349,0.875,0.9921875
4,0.9622641509433962,0.08898970259810393,0.89375,0.8930869544879755,0.8930869544879755,0.8977566999339781,0.89375,0.9922395833333334
5,0.9716981132075472,0.06921129870087893,0.91875,0.9184003015177005,0.9184003015177004,0.9216191667411179,0.91875,0.9941666666666666
